Date,Price,Total Volume,Market Cap
2022-01-19 05:30:00,3166.4539115046164,12700158860.46528,377918294939.4783
2022-01-20 05:30:00,3097.0214660626802,12762451059.939085,371296193085.12195
2022-01-21 05:30:00,3015.588777543836,13389582889.566511,360580494818.73
2022-01-22 05:30:00,2564.3433423740635,29314647992.596836,306644499897.7337
2022-01-23 05:30:00,2407.377851608285,28250265353.796116,286799916366.57184
2022-01-24 05:30:00,2537.836727861043,17123741957.54585,302626363351.5348
2022-01-25 05:30:00,2447.831512095295,28735520619.97796,292022326101.0083
2022-01-26 05:30:00,2465.21922984942,16139625164.237488,293702336549.67474
2022-01-27 05:30:00,2470.4304120157067,21415081805.12725,295723346868.75024
2022-01-28 05:30:00,2411.863855325421,16482912982.01206,287829476402.6202
2022-01-29 05:30:00,2551.1110735194716,14326314172.126577,304305302571.33734
2022-01-30 05:30:00,2603.603872339056,10742621684.922014,310059710546.2545
2022-01-31 05:30:00,2610.1824055910874,8937393969.826124,311602914058.75037
2022-02-01 05:30:00,2689.2208672204492,13818587053.759966,320354563857.1168
2022-02-02 05:30:00,2797.434855273681,13176431108.286674,334032944115.64844
2022-02-03 05:30:00,2690.319739476765,13860391591.281128,321296521004.9529
2022-02-04 05:30:00,2667.256728215686,21844552552.403343,317503695895.34064
2022-02-05 05:30:00,2993.0994395135976,18766789788.28106,354558118293.0548
2022-02-06 05:30:00,3018.6733981571506,13036212065.007109,361600442694.43896
2022-02-07 05:30:00,3062.8058084507857,9025772577.382162,366038313761.43805
2022-02-08 05:30:00,3149.953285509783,14427983727.88122,376351043607.997
2022-02-09 05:30:00,3127.438106740214,16856365272.811357,374043919421.316
2022-02-10 05:30:00,3240.9210444877285,14005361496.44425,387321193246.79065
2022-02-11 05:30:00,3081.911501840844,18990367974.117947,368377710139.77985
2022-02-12 05:30:00,2930.5631692063735,16560032290.708168,350133590835.08734
2022-02-13 05:30:00,2918.0853674291184,11367427285.455873,347517755313.83966
2022-02-14 05:30:00,2889.235678281073,9020562479.291342,345252969326.4971
